id,vina_info
987,"(987, -6.58)"
1874,"(987, -6.58)"
2453,"(987, -6.58)"
2713,"(987, -6.58)"
3125,"(177, -7.341)"
3142,"(622, -8.463)"
3159,"(622, -8.463)"
3175,"(384, -8.044)"
3177,"(384, -8.044)"
3181,"(535, -7.647)"
3184,"(535, -7.647)"
3191,"(987, -6.58)"
3193,"(987, -6.58)"
3194,"(987, -6.58)"
703,"(703, -8.138)"
1900,"(703, -8.138)"
1963,"(703, -8.138)"
2200,"(703, -8.138)"
2511,"(703, -8.138)"
2679,"(703, -8.138)"
2761,"(703, -8.138)"
2867,"(1449, -8.435)"
2955,"(1449, -8.435)"
3020,"(1449, -8.435)"
3074,"(703, -8.138)"
3180,"(703, -8.138)"
3182,"(703, -8.138)"
3186,"(703, -8.138)"
3195,"(703, -8.138)"
1073,"(1073, -6.932)"
2227,"(1073, -6.932)"
2840,"(1073, -6.932)"
2908,"(1056, -7.405)"
3088,"(1056, -7.405)"
3165,"(565, -7.32)"
1568,"(1568, -7.043)"
2440,"(1568, -7.043)"
2719,"(1568, -7.043)"
2748,"(1568, -7.043)"
2794,"(1568, -7.043)"
2953,"(1568, -7.043)"
3006,"(1568, -7.043)"
3031,"(1568, -7.043)"
3052,"(1568, -7.043)"
3085,"(1568, -7.043)"
3105,"(1568, -7.043)"
3154,"(383, -7.436)"
3172,"(1434, -7.334)"
3178,"(1434, -7.334)"
3187,"(1568, -7.043)"
278,"(278, -7.815)"
2221,"(278, -7.815)"
2805,"(278, -7.815)"
2886,"(1026, -7.836)"
3051,"(278, -7.815)"
3095,"(278, -7.815)"
3120,"(278, -7.815)"
3166,"(474, -7.905)"
3189,"(474, -7.905)"
3190,"(474, -7.905)"
3192,"(278, -7.815)"
988,"(988, -6.437)"
1878,"(988, -6.437)"
2507,"(988, -6.437)"
565,"(565, -7.32)"
2436,"(565, -7.32)"
2635,"(565, -7.32)"
2787,"(565, -7.32)"
2876,"(565, -7.32)"
3087,"(565, -7.32)"
3148,"(565, -7.32)"
114,"(114, -8.089)"
2292,"(114, -8.089)"
2460,"(114, -8.089)"
2616,"(114, -8.089)"
2963,"(114, -8.089)"
3054,"(114, -8.089)"
3091,"(340, -8.109)"
3121,"(340, -8.109)"
3124,"(114, -8.089)"
3167,"(114, -8.089)"
109,"(109, -6.013)"
1604,"(109, -6.013)"
2749,"(109, -6.013)"
2828,"(109, -6.013)"
2988,"(109, -6.013)"
3057,"(109, -6.013)"
3138,"(109, -6.013)"
474,"(474, -7.905)"
2458,"(474, -7.905)"
2588,"(474, -7.905)"
3133,"(474, -7.905)"
1434,"(1434, -7.334)"
1871,"(1434, -7.334)"
2316,"(1434, -7.334)"
2857,"(1434, -7.334)"
2991,"(1434, -7.334)"
3108,"(1434, -7.334)"
3129,"(383, -7.436)"
1298,"(1298, -6.514)"
2475,"(1298, -6.514)"
2778,"(1298, -6.514)"
2926,"(1298, -6.514)"
3004,"(1298, -6.514)"
3067,"(1298, -6.514)"
3079,"(1298, -6.514)"
3112,"(1298, -6.514)"
3150,"(1298, -6.514)"
3156,"(1298, -6.514)"
3168,"(1298, -6.514)"
3179,"(1298, -6.514)"
708,"(708, -6.628)"
2785,"(708, -6.628)"
2966,"(708, -6.628)"
3023,"(743, -6.75)"
3038,"(743, -6.75)"
3128,"(743, -6.75)"
3147,"(708, -6.628)"
3173,"(708, -6.628)"
1000,"(1000, -5.921)"
1727,"(1000, -5.921)"
2724,"(1000, -5.921)"
2817,"(1000, -5.921)"
2956,"(1000, -5.921)"
3152,"(1000, -5.921)"
3160,"(1000, -5.921)"
3164,"(1000, -5.921)"
3171,"(1000, -5.921)"
3176,"(1000, -5.921)"
1397,"(1397, -6.864)"
1915,"(1397, -6.864)"
2336,"(1281, -6.997)"
2385,"(1281, -6.997)"
2467,"(1281, -6.997)"
2521,"(1281, -6.997)"
2690,"(1281, -6.997)"
2776,"(1281, -6.997)"
2900,"(1567, -7.53)"
3049,"(994, -7.466)"
3089,"(994, -7.466)"
749,"(749, -8.124)"
1717,"(749, -8.124)"
2041,"(793, -8.363)"
2777,"(749, -8.124)"
377,"(377, -6.536)"
1655,"(377, -6.536)"
2601,"(377, -6.536)"
3139,"(377, -6.536)"
3157,"(377, -6.536)"
3188,"(377, -6.536)"
963,"(963, -6.196)"
2445,"(963, -6.196)"
2858,"(963, -6.196)"
2970,"(963, -6.196)"
2996,"(978, -7.012)"
3110,"(978, -7.012)"
304,"(304, -6.417)"
1651,"(304, -6.417)"
3026,"(304, -6.417)"
3064,"(304, -6.417)"
3083,"(1478, -6.775)"
3109,"(1478, -6.775)"
3170,"(304, -6.417)"
1395,"(1395, -6.796)"
2660,"(1395, -6.796)"
2725,"(1395, -6.796)"
2823,"(1395, -6.796)"
2846,"(1395, -6.796)"
2885,"(1395, -6.796)"
2914,"(1395, -6.796)"
2939,"(1318, -6.922)"
1056,"(1056, -7.405)"
2147,"(1056, -7.405)"
2699,"(1056, -7.405)"
2786,"(1056, -7.405)"
183,"(183, -6.994)"
2246,"(183, -6.994)"
2463,"(183, -6.994)"
2643,"(183, -6.994)"
2702,"(183, -6.994)"
2730,"(183, -6.994)"
2938,"(574, -8.16)"
3017,"(183, -6.994)"
695,"(695, -6.099)"
2720,"(669, -6.269)"
2920,"(669, -6.269)"
3071,"(507, -7.097)"
969,"(969, -5.904)"
2356,"(969, -5.904)"
2688,"(969, -5.904)"
3084,"(969, -5.904)"
3153,"(969, -5.904)"
535,"(535, -7.647)"
1818,"(535, -7.647)"
2821,"(535, -7.647)"
2952,"(535, -7.647)"
3045,"(535, -7.647)"
3072,"(535, -7.647)"
3119,"(535, -7.647)"
3146,"(535, -7.647)"
3161,"(535, -7.647)"
3163,"(535, -7.647)"
903,"(903, -6.441)"
2484,"(903, -6.441)"
2716,"(903, -6.441)"
3113,"(903, -6.441)"
3185,"(903, -6.441)"
982,"(982, -7.361)"
